attack_technique_id,attack_technique,mitigation_id,mitigation,mitigation_desc,controls
T1001,Data Obfuscation,CM1153,Modulate Information Flows,Use controlled interfaces and communication paths to provide access to risky capabilities or filter communications between enclaves.,AC-4(27) | AC-4(29) | AC-4(30) | SC-46 | SC-7(15)
T1001,Data Obfuscation,CM2002,Inspect and Analyze Network Traffic,Analyze network traffic for unusual data flows. Traffic inspection and analysis can be performed at the enterprise boundary at internal boundaries between enclaves or within enclaves.,AC-2(12) | AU-6 | IR-4(13) | SI-4(10) | SI-4(18) | SI-4(2) | SI-4(4)
T1001,Data Obfuscation,CM2041,Analyze Network Traffic Content,Analyze the contents of network traffic.,IR-4(13) | SI-4(10) | SI-4(25)
T1003,OS Credential Dumping,CM1107,Adversarial Simulation,Simulate adversary activities to test the effectiveness of system protections and detection mechanisms.,AT-2(1) | AT-3(3) | CA-8 | CA-8(2) | SC-7(10) | SI-19(8)
T1003,OS Credential Dumping,CM1135,Hide Sensitive Information,Conceal (e.g. via encryption or data hiding) or remove sensitive information (including metadata).,SC-28(1) | SI-19(4)
T1003,OS Credential Dumping,CM2004,Monitor Logs,Monitor system and application logs for anomalous or suspicious behavior.,AU-6 | IR-4(13) | SI-4(11) | SI-4(2)
T1003,OS Credential Dumping,CM2038,Monitor Command Line Use,Monitor command line interface use for common utilities (part of the system or installed by an adversary) and suspicious behavior.,IR-4(13) | SI-4(13) | SI-4(2) | SI-4(4)
T1005,Data from Local System,CM1118,Partition Host,Partition a host (e.g. server endpoint system) into separate logical domains.,SC-2 | SC-2(1) | SC-32 | SC-32(1)
T1005,Data from Local System,CM1135,Hide Sensitive Information,Conceal (e.g. via encryption or data hiding) or remove sensitive information (including metadata).,SC-28(1) | SI-19(4)
T1005,Data from Local System,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1006,Direct Volume Access,CM1113,Present Decoy Data,Present plausible but factitious data assets to attract the adversary. Monitor uses of those assets or search for the presence of decoy information.,SC-26 | SC-30(4) | SI-20
T1006,Direct Volume Access,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1006,Direct Volume Access,CM2029,Monitor Script Execution,Monitor for the execution of scripts that are unknown or used in suspicious ways.,IR-4(13) | SI-4(13) | SI-4(2)
T1007,System Service Discovery,CM1115,Lock Down Thin Nodes,Minimize local functionality and disallow writable storage.,SC-25 | SC-34 | SC-34(1)
T1007,System Service Discovery,CM2015,Process Monitoring,Monitor the behavior of processes for indications of unusual unauthorized or suspicious use.,AU-6 | IR-4(13) | SI-4(2)
T1008,Fallback Channels,CM1102,Maintain Deception Environment,Maintain a distinct subsystem or a set of components specifically designed to be the target of malicious attacks for detecting deflecting and analyzing such attacks.,SC-26 | SC-30(4) | SC-7(21)
T1008,Fallback Channels,CM1146,Refresh Sessions or Connections,Terminate and re-establish sessions or network connections unpredictably to disrupt adversary use.,SC-23(3) | SC-30(2) | SI-14(3)
